"Day","Gross sales","Discounts","Orders","Average order value","Day (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Orders (previous_period)","Average order value (previous_period)"
"2025-09-30",17843.31,-1682.39,231,69.96,"2025-08-30",19650.01,-1395.28,251,72.728
"2025-10-01",17020.48,-1327.83,221,71.007,"2025-08-31",20731.77,-2474.9,241,75.754
"2025-10-02",17767.86,-1381.05,224,73.155,"2025-09-01",19627.54,-1030.99,256,72.642
"2025-10-03",14664.87,-1439.71,183,72.268,"2025-09-02",17659.83,-1435.53,234,69.334
"2025-10-04",15922.15,-1870.64,191,73.568,"2025-09-03",18745.66,-1172.55,243,72.317
"2025-10-05",16404.63,-1500.75,214,69.644,"2025-09-04",17246.92,-1188.06,223,72.012
"2025-10-06",16709.02,-1890.94,195,75.99,"2025-09-05",17538.35,-2257.26,212,72.08
"2025-10-07",16099.15,-1271.68,199,74.509,"2025-09-06",17741.88,-1769.08,215,74.292
"2025-10-08",16111.1,-1780.71,210,68.239,"2025-09-07",25010.53,-4829.58,266,75.868
"2025-10-09",26003.66,-3265.92,299,76.045,"2025-09-08",20931.26,-2949.64,260,69.16
"2025-10-10",15701.84,-1344.2,205,70.037,"2025-09-09",22613.52,-2653.98,272,73.38
"2025-10-11",17086.03,-1524.78,195,79.801,"2025-09-10",19154.67,-1660.23,238,73.506
"2025-10-12",21317.35,-2499.22,249,75.574,"2025-09-11",18146.29,-2061.3,223,72.13
"2025-10-13",19861.11,-2167.97,246,71.923,"2025-09-12",15881.71,-1191.69,211,69.62
"2025-10-14",19678.1,-2502.97,224,76.674,"2025-09-13",15980.64,-1531.58,202,71.53
"2025-10-15",17453.42,-2071.29,214,71.879,"2025-09-14",20084,-1328.1,230,81.547
"2025-10-16",17417.47,-1909.24,215,72.131,"2025-09-15",18856.69,-1520.29,233,74.405
"2025-10-17",16785.53,-1652.65,202,74.915,"2025-09-16",20370.37,-2439.54,245,73.187
"2025-10-18",15553.24,-2128.18,178,75.421,"2025-09-17",22176.12,-2983.35,260,73.818
"2025-10-19",18433.32,-1769.78,224,74.39,"2025-09-18",18551.71,-1493.13,246,69.343
"2025-10-20",20726.88,-1752.34,272,69.759,"2025-09-19",16825.54,-1840.06,210,71.359
"2025-10-21",17967.88,-1990.22,217,73.629,"2025-09-20",16032.62,-1956.21,206,68.332
"2025-10-22",18146.83,-2201,250,63.783,"2025-09-21",19131.64,-2155.63,221,76.814
"2025-10-23",20741.29,-2647.32,269,67.263,"2025-09-22",21126.24,-2330.26,264,71.196
"2025-10-24",17149.99,-2257.48,210,70.916,"2025-09-23",18539.79,-1358.64,237,72.494
"2025-10-25",12800.24,-1937.44,162,67.054,"2025-09-24",17726.84,-1780.58,227,70.247
"2025-10-26",15011.79,-1813.13,190,69.466,"2025-09-25",18586.69,-1753.73,239,70.43
"2025-10-27",19653.98,-2755.36,240,70.41,"2025-09-26",15029.88,-1722.75,179,74.341
"2025-10-28",18288.71,-2425.02,224,70.82,"2025-09-27",12944.72,-1261.26,158,73.945
"2025-10-29",15254.25,-2372.82,178,72.367,"2025-09-28",16680.02,-1294.42,217,70.901
"2025-10-30",2889.43,-120.85,45,61.524,"2025-09-29",17804.88,-1416.72,224,73.161
