"Payment gateway","Digital wallet","Credit card type","Credit card tier","Billing country","Order sales channel","Transactions","Gross payments","Refunded payments","Net payments"
"shopify_payments","shopify_pay","visa","standard","United States","Online Store",2095,151777.21,-7661.79,144115.42
"shopify_payments",,"visa","standard","United States","Online Store",1000,69241.74,-4210.1,65031.64
"shopify_payments","shopify_pay","master","standard","United States","Online Store",702,49947.47,-1843.78,48103.69
"shopify_payments","apple_pay","visa","standard","United States","Online Store",691,48378.7,-1842.6,46536.1
"shopify_payments","shopify_pay","american_express","premium","United States","Online Store",455,34762.92,-2201.43,32561.49
"shopify_payments",,"master","standard","United States","Online Store",386,26997.58,-875.6,26121.98
"shopify_payments","apple_pay","master","standard","United States","Online Store",290,20293.96,-863.84,19430.12
"shopify_payments",,"american_express","premium","United States","Online Store",150,11985.99,-754.4,11231.59
"shopify_payments","apple_pay","american_express","premium","United States","Online Store",151,11053.66,-766.45,10287.21
"shopify_payments","shopify_pay","visa","premium","United States","Online Store",88,8233.61,-428.06,7805.55
"shopify_payments","google_pay","visa","standard","United States","Online Store",108,7393.77,-248.17,7145.6
"shopify_payments","shopify_pay","discover","standard","United States","Online Store",107,7268.55,-232.51,7036.04
"shopify_payments",,"visa","premium","United States","Online Store",51,4576.98,-374.09,4202.89
"shopify_payments",,"discover","standard","United States","Online Store",56,4225.05,-305.33,3919.72
"shopify_payments","google_pay","master","standard","United States","Online Store",46,3428.17,-59.52,3368.65
"shopify_payments","apple_pay","visa","premium","United States","Online Store",47,3146.11,-38.55,3107.56
"shopify_payments","apple_pay","discover","standard","United States","Online Store",41,3080.94,-288.38,2792.56
"shopify_payments","google_pay","american_express","premium","United States","Online Store",25,2306.38,-59.25,2247.13
"shopify_payments","shopify_pay","master","premium","United States","Online Store",26,1921.25,-124.49,1796.76
"shopify_payments",,"master","premium","United States","Online Store",16,1111.68,0,1111.68
"shopify_payments","shopify_pay","discover","premium","United States","Online Store",10,824.35,0,824.35
"shopify_payments","google_pay","discover","standard","United States","Online Store",8,669.62,0,669.62
"shopify_payments","apple_pay","discover","premium","United States","Online Store",10,712.75,-59.25,653.5
"shopify_payments",,"discover","premium","United States","Online Store",7,532.63,0,532.63
"shopify_payments","google_pay","visa","premium","United States","Online Store",9,487.88,-52.37,435.51
"shopify_payments","apple_pay","master","premium","United States","Online Store",3,225.98,0,225.98
"manual",,,,"United States","Online Store",1758,164.93,-0.01,164.92
"shopify_payments",,"master","standard","Australia","Online Store",1,65.1,0,65.1
"shopify_payments",,"visa","standard","India","Online Store",1,63.8,0,63.8
"shopify_payments","google_pay","master","premium","United States","Online Store",1,63.37,0,63.37
"shopify_payments","shopify_pay","american_express","premium","United States","Facebook & Instagram",1,59.99,0,59.99
"shopify_payments","shopify_pay","visa","standard","Canada","Online Store",1,59.99,0,59.99
"shopify_payments",,"visa","standard","Canada","Online Store",1,49.49,0,49.49
"gift_card",,,,"United States","Online Store",1,10,0,10
"manual",,,,"Canada","Online Store",1,0.01,0,0.01
