"Day","Net payments","Orders with transactions","Day (previous_period)","Net payments (previous_period)","Orders with transactions (previous_period)"
"2025-09-30",9881.46,134,"2025-08-30",0,0
"2025-10-01",9847.67,138,"2025-08-31",0,0
"2025-10-02",8025.61,115,"2025-09-01",0,0
"2025-10-03",7525.85,109,"2025-09-02",35647.23,470
"2025-10-04",0,0,"2025-09-03",6410,93
"2025-10-05",0,0,"2025-09-04",11679.39,169
"2025-10-06",20489.69,285,"2025-09-05",8766.09,117
"2025-10-07",8262.94,108,"2025-09-06",0,0
"2025-10-08",8385.03,116,"2025-09-07",0,0
"2025-10-09",8835.54,121,"2025-09-08",27029.23,340
"2025-10-10",8891.45,106,"2025-09-09",9828.79,135
"2025-10-11",0,0,"2025-09-10",11164.35,146
"2025-10-12",0,0,"2025-09-11",8302.96,123
"2025-10-13",27383.65,359,"2025-09-12",5805.75,79
"2025-10-14",4363.15,56,"2025-09-13",0,0
"2025-10-15",14654.09,201,"2025-09-14",0,0
"2025-10-16",8250.61,119,"2025-09-15",17155.63,230
"2025-10-17",7474.48,91,"2025-09-16",15463.98,203
"2025-10-18",0,0,"2025-09-17",9766.45,137
"2025-10-19",0,0,"2025-09-18",13589.34,176
"2025-10-20",22517.85,290,"2025-09-19",6250.74,90
"2025-10-21",15824.46,187,"2025-09-20",0,0
"2025-10-22",8102.99,121,"2025-09-21",0,0
"2025-10-23",10295.79,142,"2025-09-22",22383.64,303
"2025-10-24",4355.53,78,"2025-09-23",13849.8,174
"2025-10-25",0,0,"2025-09-24",7678.46,117
"2025-10-26",0,0,"2025-09-25",9969.59,130
"2025-10-27",17504.76,266,"2025-09-26",6597.41,88
"2025-10-28",16334.51,207,"2025-09-27",0,0
"2025-10-29",5037.63,84,"2025-09-28",0,0
"2025-10-30",0,0,"2025-09-29",25653.5,331
