"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"All-Purpose Support High Arch","Superfeet","Insole",350,19411.47,-4197.69,-140.25,15073.53,812.62,15886.15
"Work Cushion","Superfeet","Insole",162,8908.38,-904.24,0,8004.14,475.02,8479.16
"All-Purpose Support Medium Arch","Superfeet","Insole",125,6873.75,-357.06,0,6516.69,306.71,6823.4
"All-Purpose High Impact Support","Superfeet","Insole",123,7378.77,-1610.43,0,5768.34,335.15,6103.49
"All-Purpose Support Low Arch","Superfeet","Insole",94,5169.06,-244.53,0,4924.53,264.9,5189.43
"Run Cushion High Arch","Superfeet","Insole",86,5339.11,-338.62,-161.99,4838.5,250.91,5089.41
"All-Purpose Women's High Impact Support","Superfeet","Insole",83,5039.16,-167.8,-59.99,4811.37,243.69,5055.06
"Run Cushion Medium Arch","Superfeet","Insole",58,3479.42,-233.79,0,3245.63,202,3447.63
"All-Purpose Cushion","Superfeet","Insole",95,3359.04,-115.29,-34.99,3208.76,181.5,3390.26
"Run Pacer Elite","Superfeet","Insole",38,3609.62,-460.55,0,3149.07,234.41,3383.48
"Hike Support","Superfeet","Insole",56,3479.42,-158.86,-110.99,3209.57,156.01,3365.58
"Run Cushion Low Arch","Superfeet","Insole",53,3179.47,-209.82,0,2969.65,127.39,3097.04
"Hike Cushion","Superfeet","Insole",69,4139.31,-1283.62,0,2855.69,138.4,2994.09
"Run Women's Support","Superfeet","Insole",47,2879.52,-137.85,-59.99,2681.68,170.92,2852.6
"Run Support Low Arch","Superfeet","Insole",46,2819.53,-140.85,-59.99,2618.69,133.38,2752.07
"Casual Pain Relief","Superfeet","Insole",60,4029.38,-1897.58,0,2131.8,124.57,2256.37
"Casual Women's Easyfit®","Superfeet","Insole",63,2204.37,-150.3,0,2054.07,102.05,2156.12
"Run Pain Relief 2-Pack","Superfeet","Bundle",17,1988.66,0,0,1988.66,129.77,2118.43
"Run Support Medium Arch","Superfeet","Insole",35,2099.65,-116.88,0,1982.77,107.26,2090.03
"Sport Ultralight","Superfeet","Insole",30,2014.69,-77.92,-64.99,1871.78,135.2,2006.98
"All-Purpose Support High Arch 2-Pack","Superfeet","Bundle",19,1880.62,0,0,1880.62,91.35,1971.97
"Run Pain Relief","Superfeet","Insole",67,4354.33,-2586.5,0,1767.83,92.24,1860.07
"Run Support High Arch","Superfeet","Insole",28,1679.72,-119.86,0,1559.86,75.31,1635.17
"All-Purpose Memory Foam Support","Superfeet","Insole",25,1499.75,-53.94,0,1445.81,75.71,1521.52
"All-Purpose Wide-Fit Support","Superfeet","Insole",30,1649.7,-233.64,0,1416.06,79.99,1496.05
"Casual Men's Easyfit®","Superfeet","Insole",37,1294.63,-38.43,0,1256.2,72.2,1328.4
"Casual Pain Relief 2-Pack","Superfeet","Bundle",10,1286.78,0,-116.98,1169.8,70.89,1240.69
"Hike Cushion 2-Pack","Superfeet","Bundle",9,971.82,0,0,971.82,52.67,1024.49
"Work Memory Foam","Superfeet","Insole",26,909.74,-24.45,0,885.29,63.88,949.17
"Hockey Performance","Superfeet","Insole",18,1079.82,-200.95,0,878.87,22.74,901.61
"Work Slim-Fit Cushion","Superfeet","Insole",17,934.83,-112.67,0,822.16,44.88,867.04
"Best Sellers Bundle","Superfeet","Bundle",6,620.88,0,0,620.88,48.19,669.07
"Winter Support","Superfeet","Insole",13,714.87,-71.41,0,643.46,23.21,666.67
"Winter Thin Support","Superfeet","Insole",12,659.88,-16.48,0,643.4,20.76,664.16
"All-Purpose Support High Arch 4-Pack","Superfeet","Bundle",3,593.88,0,0,593.88,54.68,648.56
"Hike Women's Support","Superfeet","Insole",10,599.9,-38.96,0,560.94,41.01,601.95
"Work Cushion 2-Pack","Superfeet","Bundle",5,494.9,0,0,494.9,10.79,505.69
"Pain Relief Bundle","Superfeet","Bundle",4,467.92,0,0,467.92,26.61,494.53
"All-Purpose Support High Arch 3-Pack","Superfeet","Bundle",3,445.41,0,0,445.41,27.83,473.24
"All-Purpose High Impact Support 2-Pack","Superfeet","Bundle",4,431.92,0,0,431.92,29.7,461.62
"Hockey Cushion","Superfeet","Insole",11,439.89,-5.99,0,433.9,17.74,451.64
"Casual Easyfit® High Heel","Superfeet","Insole",12,419.88,-20.96,0,398.92,14.26,413.18
"Casual Support","Superfeet","Insole",6,389.94,-9.74,0,380.2,13.18,393.38
"All-Purpose High Impact Support 3-Pack","Superfeet","Bundle",2,323.94,0,0,323.94,20.65,344.59
"Commuter Essentials Pack","Superfeet","Bundle",1,139.47,0,0,139.47,14.29,153.76
"Work Hard Play Hard Pack","Superfeet","Bundle",1,103.48,0,0,103.48,6.21,109.69
"Gift Card","Superfeet",,1,0,0,0,0,0,0
